"행정구역","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_남_10~19세","2023년06월_남_20~29세","2023년06월_남_30~39세","2023년06월_남_40~49세","2023년06월_남_50~59세","2023년06월_남_60~69세","2023년06월_남_70~79세","2023년06월_남_80~89세","2023년06월_남_90~99세","2023년06월_남_100세 이상","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년06월_여_10~19세","2023년06월_여_20~29세","2023년06월_여_30~39세","2023년06월_여_40~49세","2023년06월_여_50~59세","2023년06월_여_60~69세","2023년06월_여_70~79세","2023년06월_여_80~89세","2023년06월_여_90~99세","2023년06월_여_100세 이상"
"경상남도 창원시 마산합포구 가포동(4812552000)","1,152","1,152","52","50","182","232","149","160","202","107","16","2","0","1,111","1,111","49","57","178","183","138","182","176","101","42","5","0"
"경상남도 창원시 마산합포구 월영동(4812553000)","20,863","20,863","2,174","2,145","2,672","2,888","3,466","3,126","2,765","1,238","368","21","0","21,217","21,217","2,062","2,030","2,027","2,819","3,426","3,484","3,165","1,469","618","114","3"
"경상남도 창원시 마산합포구 문화동(4812554000)","5,557","5,557","204","325","1,084","567","732","869","950","599","209","17","1","5,547","5,547","189","382","739","456","596","877","1,151","707","384","63","3"
"경상남도 창원시 마산합포구 반월중앙동(4812556500)","6,710","6,710","326","659","728","677","1,029","1,155","1,167","673","274","21","1","7,134","7,134","313","599","585","586","1,011","1,183","1,345","933","501","77","1"
"경상남도 창원시 마산합포구 완월동(4812557000)","4,249","4,249","156","348","485","412","562","778","869","453","168","17","1","4,506","4,506","140","347","413","347","564","807","992","527","325","41","3"
"경상남도 창원시 마산합포구 자산동(4812558000)","4,754","4,754","175","442","570","413","641","822","950","561","178","1","1","4,990","4,990","143","350","424","346","620","933","1,111","671","334","57","1"
"경상남도 창원시 마산합포구 교방동(4812561000)","7,865","7,865","571","736","699","1,000","1,321","1,249","1,281","728","259","21","0","8,059","8,059","556","639","653","922","1,160","1,170","1,487","972","424","74","2"
"경상남도 창원시 마산합포구 오동동(4812563000)","9,377","9,377","438","592","948","1,088","1,532","1,613","1,754","987","391","34","0","9,489","9,489","386","556","805","935","1,313","1,433","2,011","1,260","702","85","3"
"경상남도 창원시 마산합포구 합포동(4812564000)","3,484","3,484","184","234","319","437","585","595","632","338","146","13","1","3,456","3,456","184","193","251","357","428","556","731","456","254","46","0"
"경상남도 창원시 마산합포구 산호동(4812565000)","5,905","5,905","300","445","639","697","942","1,029","1,025","594","216","18","0","6,008","6,008","294","447","562","562","810","999","1,255","727","310","42","0"
"경상남도 창원시 마산회원구 (4812700000)","90,769","90,769","5,385","8,928","10,289","10,143","14,391","16,212","15,253","7,621","2,410","136","1","91,262","91,262","5,106","8,195","8,467","8,833","13,818","16,252","16,819","9,068","4,104","587","13"
"경상남도 창원시 마산회원구 내서읍(4812725000)","30,931","30,931","1,946","3,890","3,983","2,970","4,966","6,153","4,633","1,797","560","33","0","30,813","30,813","1,840","3,597","3,133","2,774","5,419","6,267","4,397","2,074","1,146","162","4"
"경상남도 창원시 마산회원구 회원1동(4812751000)","4,878","4,878","143","328","440","462","722","845","1,000","640","279","19","0","5,075","5,075","151","291","356","334","590","752","1,249","862","429","60","1"
"경상남도 창원시 마산회원구 회원2동(4812752000)","4,873","4,873","326","404","477","700","716","742","874","489","140","5","0","5,028","5,028","310","347","465","614","649","745","990","599","265","44","0"
"경상남도 창원시 마산회원구 석전동(4812754500)","8,209","8,209","528","612","789","1,125","1,277","1,362","1,422","830","245","19","0","8,331","8,331","495","571","721","950","1,076","1,309","1,707","1,024","414","64","0"
"경상남도 창원시 마산회원구 회성동(4812755000)","2,800","2,800","70","141","247","284","351","505","656","378","153","15","0","2,772","2,772","59","127","200","193","250","448","754","491","224","26","0"
